"Action","Type","Status","RelativePath","Name","Extension","SourcePath","TargetPath","SourceSize","TargetSize","SizeDifference","SourceModified","TargetModified","Recommendation","Notes"
"C","Directory","OnlyInSource","Cameron Tapley\CDT Business\Research\CREXI\RSM Cupertino CA Info","RSM Cupertino CA Info","","C:\Users\cameront\TAPLEY Dropbox\Cameron Tapley\CDT Business\Research\CREXI\RSM Cupertino CA Info","D:\DB+\Cameron Tapley\CDT Business\Research\CREXI\RSM Cupertino CA Info","0 B","0 B","0 B","7/3/2025 3:42:32 PM","","Create directory in target","Directory structure missing from Target"
"C","Directory","OnlyInSource","Cameron Tapley\CDT Personal\Cameron Vaio\Documents\My Documents\Cameron\1804 Redwing\Bathroom Design Ideas\G&L Shower Glass","G&L Shower Glass","","C:\Users\cameront\TAPLEY Dropbox\Cameron Tapley\CDT Personal\Cameron Vaio\Documents\My Documents\Cameron\1804 Redwing\Bathroom Design Ideas\G&L Shower Glass","D:\DB+\Cameron Tapley\CDT Personal\Cameron Vaio\Documents\My Documents\Cameron\1804 Redwing\Bathroom Design Ideas\G&L Shower Glass","0 B","0 B","0 B","7/17/2025 10:48:32 AM","","Create directory in target","Directory structure missing from Target"
"C","Directory","OnlyInSource","Cameron Tapley\CDT Personal\Cameron Vaio\Documents\My Documents\Cameron\1804 Redwing\Landscape+\Landscape Front & Backyard Areas+\Royal Garden (Peter landscaping)+","Royal Garden (Peter landscaping)+","","C:\Users\cameront\TAPLEY Dropbox\Cameron Tapley\CDT Personal\Cameron Vaio\Documents\My Documents\Cameron\1804 Redwing\Landscape+\Landscape Front & Backyard Areas+\Royal Garden (Peter landscaping)+","D:\DB+\Cameron Tapley\CDT Personal\Cameron Vaio\Documents\My Documents\Cameron\1804 Redwing\Landscape+\Landscape Front & Backyard Areas+\Royal Garden (Peter landscaping)+","0 B","0 B","0 B","7/14/2025 11:15:54 AM","","Create directory in target","Directory structure missing from Target"
"C","Directory","OnlyInSource","Cameron Tapley\CDT Personal\Cameron Vaio\Documents\My Documents\Cameron\1804 Redwing\Landscape+\Landscape Front & Backyard Areas+\Royal Garden (Peter landscaping)+\Crape Myrtle Trees","Crape Myrtle Trees","","C:\Users\cameront\TAPLEY Dropbox\Cameron Tapley\CDT Personal\Cameron Vaio\Documents\My Documents\Cameron\1804 Redwing\Landscape+\Landscape Front & Backyard Areas+\Royal Garden (Peter landscaping)+\Crape Myrtle Trees","D:\DB+\Cameron Tapley\CDT Personal\Cameron Vaio\Documents\My Documents\Cameron\1804 Redwing\Landscape+\Landscape Front & Backyard Areas+\Royal Garden (Peter landscaping)+\Crape Myrtle Trees","0 B","0 B","0 B","9/4/2023 10:55:48 AM","","Create directory in target","Directory structure missing from Target"
"C","Directory","OnlyInSource","Cameron Tapley\CDT Personal\Cameron Vaio\Documents\My Documents\Cameron\1804 Redwing\Landscape+\Landscape Front & Backyard Areas+\Royal Garden (Peter landscaping)+\Photos+","Photos+","","C:\Users\cameront\TAPLEY Dropbox\Cameron Tapley\CDT Personal\Cameron Vaio\Documents\My Documents\Cameron\1804 Redwing\Landscape+\Landscape Front & Backyard Areas+\Royal Garden (Peter landscaping)+\Photos+","D:\DB+\Cameron Tapley\CDT Personal\Cameron Vaio\Documents\My Documents\Cameron\1804 Redwing\Landscape+\Landscape Front & Backyard Areas+\Royal Garden (Peter landscaping)+\Photos+","0 B","0 B","0 B","9/4/2023 10:43:57 AM","","Create directory in target","Directory structure missing from Target"
"C","Directory","OnlyInSource","Cameron Tapley\CDT Personal\Cameron Vaio\Documents\My Documents\Cameron\1804 Redwing\Landscape+\Landscape Front & Backyard Areas+\Royal Garden (Peter landscaping)+\Plant Options & Work Order","Plant Options & Work Order","","C:\Users\cameront\TAPLEY Dropbox\Cameron Tapley\CDT Personal\Cameron Vaio\Documents\My Documents\Cameron\1804 Redwing\Landscape+\Landscape Front & Backyard Areas+\Royal Garden (Peter landscaping)+\Plant Options & Work Order","D:\DB+\Cameron Tapley\CDT Personal\Cameron Vaio\Documents\My Documents\Cameron\1804 Redwing\Landscape+\Landscape Front & Backyard Areas+\Royal Garden (Peter landscaping)+\Plant Options & Work Order","0 B","0 B","0 B","1/8/2024 2:20:20 PM","","Create directory in target","Directory structure missing from Target"
"C","Directory","OnlyInSource","Cameron Tapley\CDT Personal\Cameron Vaio\Documents\My Documents\Cameron\1804 Redwing\Landscape+\Landscape Front & Backyard Areas+\Royal Garden (Peter landscaping)+\River Rock","River Rock","","C:\Users\cameront\TAPLEY Dropbox\Cameron Tapley\CDT Personal\Cameron Vaio\Documents\My Documents\Cameron\1804 Redwing\Landscape+\Landscape Front & Backyard Areas+\Royal Garden (Peter landscaping)+\River Rock","D:\DB+\Cameron Tapley\CDT Personal\Cameron Vaio\Documents\My Documents\Cameron\1804 Redwing\Landscape+\Landscape Front & Backyard Areas+\Royal Garden (Peter landscaping)+\River Rock","0 B","0 B","0 B","5/5/2023 8:58:48 AM","","Create directory in target","Directory structure missing from Target"
"C","Directory","OnlyInSource","Cameron Tapley\CDT Personal\Cameron Vaio\Documents\My Documents\Cameron\1804 Redwing\Lighting\Sylvania","Sylvania","","C:\Users\cameront\TAPLEY Dropbox\Cameron Tapley\CDT Personal\Cameron Vaio\Documents\My Documents\Cameron\1804 Redwing\Lighting\Sylvania","D:\DB+\Cameron Tapley\CDT Personal\Cameron Vaio\Documents\My Documents\Cameron\1804 Redwing\Lighting\Sylvania","0 B","0 B","0 B","7/10/2025 9:10:07 AM","","Create directory in target","Directory structure missing from Target"
"C","Directory","OnlyInSource","Cameron Tapley\CDT Personal\Cameron Vaio\Documents\My Documents\Cameron\1804 Redwing\Paint","Paint","","C:\Users\cameront\TAPLEY Dropbox\Cameron Tapley\CDT Personal\Cameron Vaio\Documents\My Documents\Cameron\1804 Redwing\Paint","D:\DB+\Cameron Tapley\CDT Personal\Cameron Vaio\Documents\My Documents\Cameron\1804 Redwing\Paint","0 B","0 B","0 B","7/12/2025 9:11:49 AM","","Create directory in target","Directory structure missing from Target"
"C","Directory","OnlyInSource","Cameron Tapley\CDT Personal\Cameron Vaio\Documents\My Documents\Cameron\DNA Heritage Info","DNA Heritage Info","","C:\Users\cameront\TAPLEY Dropbox\Cameron Tapley\CDT Personal\Cameron Vaio\Documents\My Documents\Cameron\DNA Heritage Info","D:\DB+\Cameron Tapley\CDT Personal\Cameron Vaio\Documents\My Documents\Cameron\DNA Heritage Info","0 B","0 B","0 B","7/4/2025 11:18:52 AM","","Create directory in target","Directory structure missing from Target"
